subject,ind_cell2_1,ind_cell2_2,ind_cell2_3,ind_cell2_4,ind_cell2_5,ind_cell2_6,ind_cell2_7,ind_cell2_8,ind_cell2_9,ind_cell2_10,ind_cell2_11,ind_cell2_12,ind_cell2_13,ind_cell2_14,ind_cell2_15,ind_cell2_16,ind_cell2_17,ind_cell2_18,ind_cell2_19,ind_cell2_20,ind_cell2_21,ind_cell2_22,ind_cell2_23,ind_cell2_24,ind_cell2_25,ind_cell2_26,ind_cell2_27,ind_cell2_28,ind_cell2_29,ind_cell2_30,ind_cell2_31,ind_cell2_32,ind_cell2_33,ind_cell2_34,ind_cell2_35,ind_cell2_36,ind_cell2_37,ind_cell2_38,ind_cell2_39,ind_cell2_40,ind_cell2_41,ind_cell2_42,ind_cell2_43,ind_cell2_44,ind_cell2_45,ind_cell2_46,ind_cell2_47,ind_cell2_48,ind_cell2_49,ind_cell2_50,ind_cell2_51,ind_cell2_52,ind_cell2_53,ind_cell2_54,ind_cell2_55,ind_cell2_56,ind_cell2_57,ind_cell2_58,ind_cell2_59,ind_cell2_60,ind_cell2_61,ind_cell2_62,ind_cell2_63,ind_cell2_64,ind_cell2_65,ind_cell2_66,ind_cell2_67,ind_cell2_68,ind_cell2_69,ind_cell2_70,ind_cell2_71,ind_cell2_72,ind_cell2_73,ind_cell2_74,ind_cell2_75,ind_cell2_76,ind_cell2_77,ind_cell2_78,ind_cell2_79,ind_cell2_80,ind_cell2_81,ind_cell2_82,ind_cell2_83,ind_cell2_84,ind_cell2_85,ind_cell2_86,ind_cell2_87,ind_cell2_88,ind_cell2_89,ind_cell2_90,ind_cell2_91,ind_cell2_92,ind_cell2_93,ind_cell2_94,ind_cell2_95,ind_cell2_96,ind_cell2_97,ind_cell2_98,ind_cell2_99,ind_cell2_100,ind_cell2_101,ind_cell2_102,ind_cell2_103,ind_cell2_104,ind_cell2_105,ind_cell2_106
i002,3001,24999,25501,29000,29501,47000,47501,69000,70001,111884,117886,126385,126886,155885,156386,190885,191386,198385,198886,218884,219386,226726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i004,3001,14999,15501,23000,23501,31500,32001,89000,89501,91000,91501,108000,108501,111813,117815,118814,119315,122314,122815,137314,137815,147814,148815,155314,155815,181314,181815,226314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i005,3001,42000,45001,47500,48001,83999,84501,87000,88001,111889,117891,123890,129891,138890,139391,150889,151391,190390,190891,192890,195891,198890,201891,226744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i006,3001,13500,14001,50500,51001,67000,67501,76500,77001,77499,78001,97500,98001,111787,117789,121788,123289,141288,141789,154788,155289,198288,199789,202288,202789,223288,223789,226575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i008,3001,32500,33001,38500,39501,67500,68001,75999,76501,80000,80501,85500,86001,93000,93501,111787,117789,121288,121789,163787,164289,226580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i014,3001,25000,25501,36000,42501,56499,57501,111774,117776,153775,154776,173275,173776,185274,186776,226644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i016,3001,18000,18501,36000,37001,39000,39501,40000,40501,58500,59501,85000,85501,111810,117812,121811,122312,163310,164812,225311,226312,226688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i018,3001,75000,78001,98500,99001,100499,101001,111889,117891,122390,122891,129890,132891,213390,213891,216890,222891,225889,226391,226741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i021,3001,4000,4501,28500,29001,39500,40001,73500,74501,81000,81501,90000,96001,111792,126794,141793,144794,156793,159794,179292,179794,203293,203794,209293,209794,226577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i022,3001,8500,9001,9500,10501,12499,13501,19000,19501,30500,31001,41500,45001,99000,99501,104000,104501,111774,117776,199774,200276,210275,210776,226634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
