subject,good_indices
i002,"[  3001  24999  25501  28999  29500  46999  47500  68999  70000 111884
 120885 126384 126885 155884 156385 190884 191385 198384 198885 218884
 219386 226726]"
i004,"[  3001  14999  15501  22999  23500  31499  32000  88999  89500  90999
  91500 107999 108500 111813 117815 118813 119314 122313 122814 137313
 137814 147813 148815 155313 155814 181313 181814 226313]"
i005,"[  6000  41999  45000  47499  48000  83999  84501  86999  88000 111889
 117891 123889 132890 138889 139390 150889 151391 190389 190890 192889
 201890 226744]"
i006,"[  3001  11999  15000  50499  51000  66999  67500  76499  77000  77499
  78001  97499  98000 111787 117789 121787 123288 141287 141788 154787
 155288 198287 199788 202287 202788 223287 223788 226575]"
i008,"[  3001  32499  33000  38499  39500  67499  68000  75999  76501  79999
  80500  85499  86000  92999  93500 111787 117789 121287 121788 163787
 164289 226580]"
i014,"[  3001  17999  24000  24999  25500  35999  48000  56499  57500  71999
  75000 111774 117776 153774 154775 173274 173775 185274 189775 226644]"
i016,"[  3001  17999  18500  35999  37000  38999  39500  39999  40500  58499
  59501  84999  85500 111810 117812 121810 122311 163310 164811 225310
 226311 226688]"
i018,"[  3001  98499  99000 100499 101001 111889 117891 122389 122890 213389
 213890 216889 222890 225889 226391 226741]"
i021,"[  3001   3999   4500  28499  29000  39499  40000  73499  74501  80999
  81500  94499  95000 111792 126793 159292 159793 179292 179794 203292
 203793 209292 209793 226577]"
i022,"[  3001   8499   9000   9499  10500  12499  13500  18999  19500  30499
  31000  41499  45000  98999  99500 103999 104500 111774 117776 199774
 200276 210274 210775 226634]"
i024,"[  3001  23999  27000  29999  33000  62999  72000  74999  78000  80999
  87000  87499  88000  94999  96000 107999 117812 146810 147311 155310
 155811 189810 195811 197310 197811 218810 219311 222810 225811 226682]"
i026,"[  3001   6999   7500  20499  21000  38499  39500  39999  40500  54999
  55500  82499  83500  89499  90000  98499  99000 105999 107000 111874
 117876 145374 146375 209874 210375 226685]"
i027,"[  3001   9499  10000  17499  18000  28999  29500  59499  60500  75999
  77500  82499  83000  88999  91000 100499 101000 111499 117868 131366
 131867 157866 158367 174366 174867 200866 201868 212366 213367 226713]"
i028,"[  3001   3499   5000  49499  50000  50999  52000  58999  60000  60999
  61500  63999  65000  71499  72500  87499  88000 108499 109500 110999
 111500 111846 117848 126846 135847 153346 154347 159846 160848 174846
 175347 176346 176847 184346 185347 200846 201847 226708]"
i029,"[  3001  10499  11000  51499  52000  88999  90001 111787 117789 141787
 142288 209287 209789 224787 225288 226572]"
i030,"[  3001  38499  39001  49499  50000  74999  75500 107499 108000 111787
 117789 135787 136288 184787 185288 210787 211789 214787 215288 226465]"
i032,"[  6000  11999  18000  19999  20500  23999  30000  38999  42000  48999
  49500  95499  96000 111772 117774 126772 127273 138772 144773 145772
 146273 147772 153773 161772 162273 174772 177773 186772 192773 198272
 199273 209772 210273 226534]"
i034,"[  3001   4499   5000   5499   6000  11499  12000  13999  14500  21999
  22500  22999  24000  86499  87001  87999  88500 111787 117789 118287
 118788 134287 134788 143787 144288 154787 155288 171787 172288 181787
 182288 214787 215288 219787 220288 226560]"
i035,"[  3001  24999  25500  36499  37000  52499  53001  81499  82000 111782
 117784 130282 130783 138282 138783 190782 191283 226537]"
i036,"[  3001  33999  34500  54499  55500  68499  69500  85999  86501  87499
  88500  89499  90000 101999 103000 111818 117820 145818 146319 175318
 175820 182318 182819 222818 223319 226583]"
i038,"[  3001   7499   8500  14499  15501  16999  17500  19999  20500  42999
  43500  44499  45000  46499  47000  97999  98500 111882 117884 168382
 168883 170882 171883 178882 179383 184382 184883 213382 213883 215882
 216383 226744 232746 241744 242245 256744 257245 266744 267245 268744
 269745 274244 274746 305244 305745 307744 308745 316244 316745 317244
 317745 341591]"
i039,"[  3001  12999  13500  14999  15500  55499  56000  59999  60500  68499
  69000  73499  74000  92499  94000 104999 111000 111856 117858 142856
 143357 151856 152357 153856 154357 164856 165357 186356 188357 206856
 207358 210356 210857 222856 223357 226688]"
i041,"[  3001   8499   9000   9499  10000  17499  18000  25499  26000  56499
  57500  68999  69501 111984 117986 128484 129485 136984 137485 190484
 190985 191984 192485 224984 225485 226949]"
i042,"[  3001   5999   6500  24999  26000  37499  38500  66499  68000  84999
  85501  97499  98000 108999 109500 111971 117973 121471 121972 148471
 148972 151471 151972 156971 157472 158971 159472 163471 165472 165971
 169472 198471 198972 201971 202472 219971 220472 226923]"
i044,"[  3001  85999  86500  91999  92500  95999  96500 103999 104501 111843
 117845 124843 125344 146343 146845 150343 150844 181843 182344 220843
 221344 226726]"
i045,"[  3001   3499   4000  47499  48001  68999  69500  97499  98000 111779
 117781 196279 196781 226564]"
i047,"[  3001  39499  41000  47999  60000  98499  99500 111769 117771 136269
 137270 137769 138271 142769 143270 166769 167270 217269 217770 219769
 222770 226542]"
i048,"[  3001  30999  31501  85999  86500  97999  98500 111774 117776 127774
 128275 129774 130275 160774 161275 198774 199276 215774 216275 226274]"
i049,"[  3001   7999   8500   8999   9500  30499  31000  31999  32501 111841
 117843 139841 140342 146841 147342 153341 153843 189841 190342 207841
 213842 214341 214842 215341 215842 223341 223842 226673]"
i051,"[  3001  20499  21001  51499  52500  85999  86500 102999 103500 104999
 105500 111813 117815 122313 122814 136813 137815 138313 138814 186813
 187314 222813]"
i052,"[  3001  17999  19000  24499  25000  31999  33000  41499  42000  44499
  45000  48999  49500  59499  61500  84499  85000 111925 117927 118425
 118926 128925 129426 138925 144926 161925 162426 170925 171426 201925
 202926 210425 210926 223925 224426 226838]"
i053,"[  3001   6999   7501  13999  15000  47999  51500  53999  57000  75999
  76500  86999  87500 104999 105500 111887 117889 129887 135888 144887
 153888 166887 167388 175887 176388 180387 180888 181887 182388 183887
 184388 209887 210388 226749]"
i055,"[  3001  48999  49500  49999  50500  70499  71001  78499  79000  98499
  99000 111828 117830 118328 118830 119828 120329 123328 125829 132828
 133829 140828 141829 143328 143829 149828 150329 184828 185329 185828
 186829 218828 219829 220328 220829 225828]"
i056,"[  3001   4499   5501   6499   7000  18999  19500  22999  23500  24499
  25000  26499  27500  37999  38500  40499  41000  44999  46500 111961
 117963 124461 124962 139961 141462 159961 160462 164461 164962 167961
 168462 191461 191962 201961 202462 209461 210462 226908]"
i058,"[  3001   5999   9000  11999  21000  47999  48500  53499  54000  88999
  89500 105999 108500 111818 117820 154818 155319 156318 156819 160318
 160820 189818 192819 201818 202319 216818 217319 222318 222819 226614]"
i059,"[  3001  72999  75500  78499  79000  86499  87000  87999  88500 111884
 118385 119884 120386 137884 138385 160384 160885 221884 222385 226657]"
i060,"[  3001  14999  16000  31499  32500  65999  67000  74499  75500 111782
 117784 144282 144783 173282 173783 182282 182783 183782 192783 193782
 194284 215282 215783 226575]"
i063,"[  3001  35499  36000  63499  64000  70499  71001  82499  83000 103499
 104000 111784 117786 147784 150785 151284 151785 171284 171786 198284
 198785 226585]"
i064,"[  3001 106499 107001 111992 117994 147492 147994 159992 160493 213492
 213993 226957]"
i065,[  3001  56999  57500 111820 117822 126320 127321 226698]
i066,"[  3001  56499  57001  60999  61500  69999  70500 111877 117879 121377
 122378 138877 153878 183877 184378 189877 190379 226719]"
i067,"[  3001  87499  88001 111856 117858 133856 134358 140856 141357 145356
 145857 151856 152357 161356 161857 170356 170857 226664]"
i071,"[  3001  24999  25500  37999  38500  47499  48001  95999  96500 103499
 104500 111966 117968 194466 194967 225466 225968 226920]"
i073,"[  3001  38999  39500  44999  45501  52999  53500  97499  98000 111994
 117996 130994 131495 174494 175995 193994 194495 200994 201495 214494
 214995 226936]"
i074,"[  3001   8999   9500  44999  45500  81999  82501 111928 117930 118428
 118929 130928 131429 159428 159929 174928 175429 198928 199930 213928
 214429 226852]"
i076,"[  3001   5999   6500  11999  15000  42999  43500  58499  59000  60499
  61001 110999 111500 111879 117881 125379 125880 143379 143880 155879
 156380 160379 160880 177879 178380 201879 202380 210379 210880 219879
 222880 226716]"
i081,"[  3001   5999  15000  24499  25000  31999  32500 101499 102000 111836
 117838 189336 189838 212836 213337 226696]"
i082,"[  6000  36499  37000  74999  75501 102499 103500 111841 117843 118841
 119342 125841 127342 196341 196842 226649]"
i083,"[  3001  14499  15500  64999  66000  68999  69500  73999  74500 111930
 117932 123930 126931 166430 166931 182430 183431 213930 214432 223930
 224431 226846]"
i084,"[  3001  11999  15000  50999  52500  56999  58000 104999 111000 111797
 118299 139797 140298 192797 198798 203797 204298 222797 225798 226664]"
i087,"[  3001  20499  21000  40499  41001  71499  72000 111818 117820 119318
 119819 132818 133319 138818 141819 142318 143319 164318 164819 166818
 167319 182318 182819 193318 193820 226698]"
i089,"[  3001  27999  28500  30999  31500  44999  48000  66499  67000  68999
  70001 101999 102500 105999 106500 111769 117771 178769 179270 180769
 195770 198769 201770 216269 216771 226624]"
i090,"[  3001   4999   5500  28999  29501  32999  36000  41999  45000  83999
  93000 111848 117850 126348 126849 165348 165849 214848 215349 225348
 225850 226680]"
i091,"[  3001  24999  25500  43999  44501  50499  51000 111874 117876 129374
 129875 181874 182376 188374 188875 226703]"
i092,"[  3001  11999  13001  15999  17000  35499  36000  50999  54000 111825
 117827 120825 123826 126825 138826 142325 142826 188825 189327 205825
 206826 219825]"
i093,"[  3001  18499  19001  26499  27000 101999 117774 121272 121773 164772
 166273 204772 205273 224272 224774 226545]"
i095,"[  3001  32999  36000  40999  41500  43499  44000  67499  68000  68499
  70000  77499  78000  93999  94500 106499 107000 111828 117830 171328
 172329 175828 176330 187828 188329 192828 195829 204828 205329 226631]"
i096,"[  3001  11499  12000  18499  19000  26499  27000  32999  33500  34999
  35501  57499  58500  96499  97000 111767 117769 124267 124768 140767
 141268 164767 165268 168767 174768 189767 192768 209767 210268 213767
 214269 226532]"
i099,"[  3001  23499  24000  54999  55500  64499  65500  88999  89500 102999
 103500 111874 117876 144874 145375 146374 147375 165874 171875 194374
 194875 217874 218375 220874 221375 226690]"
i101,"[  3001  10999  11500  23999  24500  55499  56001  94499  95000 111818
 117820 120318 121319 160818 161319 179318 179819 181318 181819 189318
 190320 226606]"
i102,"[  3001   8999   9500  12499  13000  32499  33000  49499  50000  53999
  55000  80499  81001  84999  86000  88999  90000  99499 100500 111784
 117786 119784 120285 162284 162785 204784 205285 223784 224286 226621]"
i103,"[  3001  46999  47500  89499  90000 106999 108000 111964 117966 134464
 134965 137964 138466 140964 141465 142964 143465 164964 165465 213964
 214465 226906]"
i106,"[  3001  13499  14001  14999  18000  20499  21000  65999  69000 111861
 117863 149861 150362 159861 162863 226700]"
i107,"[  3001   3499   4001  44499  45000  65999  69000  94999  95500  96499
  97000 111941 117943 139441 139942 155941 156942 172441 172942 218941
 219442 226895]"
i109,"[  3001  21999  22500  36999  37500  43499  44000  52999  53500  87499
  88000 111784 117786 134784 135285 138784 139785 149784 150286 197284
 197785 217784 218285 226656]"
i110,"[  3001  27499  28001  44499  45000 111879 117881 147379 147880 159379
 159880 172379 173380 173879 174380 226746]"
i111,"[  3001  12999  13501 111795 117797 131795 132297 155795 157796 168795
 180796 186795 189796 192795 195796 213795 216796 226565]"
i112,"[  9000  36499  37000  55999  57000 111761 117763 129761 132762 148761
 149262 155761 156262 191261 191762 193761 194263 223261 223762 226518
 232520 242518 243019 245518 246019 274518 275019 276518 277019 279518
 280019 281018 281519 288018 289020 341296]"
i114,"[  4000  17499  18500  19499  20500  79499  80500  84499  85000 111782
 117784 163282 164783 171782 172283 226552]"
i116,"[  3001  11999  24000  38999  42000  47999  54000  92999  96000  97499
  98000 104499 108000 110999 117807 135805 136307 153805 154306 168805
 171806 226598]"
